	sample_id	prompt_source	position_source	prompt_target	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	generations_baseline_hop2	is_correct_baseline_hop2	generations_baseline_hop3	is_correct_baseline_hop3	generations_baseline_multihop3	is_correct_baseline_multihop3	layer_source	layer_target	generations_patched	is_correct_patched	hidden_rep	object_int	predicted_int	predicted	is_correct_probe
16747	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	12	4	['the' 'company' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[ 0.3093  -0.259    0.1874  ... -0.2695   0.00842 -0.2617 ]	181	181	Tim Cook	True
16750	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	17	30	['</s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>']	False	[ 1.009   -0.0897  -0.05762 ... -0.5747  -0.5283  -0.3318 ]	173	173	Sundar Pichai	True
16778	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	4	27	['.' 'io' '?' '\n' '\n' 'Answer' ':' 'As' 'of' 'September']	False	[ 0.1017  -0.169    0.128   ... -0.0545  -0.02893  0.0792 ]	181	181	Tim Cook	True
16800	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	16	27	['a' 'ka' 'V' 'ale' 'ant' 'Ph' 'arma' 'ce' '<s>' '<s>']	False	[ 1.109   0.2568 -0.124  ...  0.4714  0.5483 -0.2451]	181	181	Tim Cook	True
16824	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	26	27	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.31    0.1387  0.648  ...  0.2368  0.9253 -1.574 ]	181	181	Tim Cook	True
16834	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	27	15	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 0.7754  0.4417  0.8467 ...  0.867   0.7344 -2.148 ]	181	181	Tim Cook	True
16843	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	25	11	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.593   0.708   0.657  ...  0.4348  0.889  -1.474 ]	181	181	Tim Cook	True
16848	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	21	25	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 0.6494 -0.6333  1.087  ...  0.6904  0.6157 -1.424 ]	181	181	Tim Cook	True
16851	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	28	20	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.379   0.8037  0.7876 ...  1.221   0.1821 -2.318 ]	181	181	Tim Cook	True
16860	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	20	3	['Apple' '?' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B' '.']	True	[ 1.128    0.02869  0.8154  ...  1.369    0.9434  -1.53   ]	181	181	Tim Cook	True
16895	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	12	2	['the' 'company' '?' '\n' '\n' 'Answer' ':' 'The' 'current' 'CE']	False	[ 0.3093  -0.259    0.1874  ... -0.2695   0.00842 -0.2617 ]	181	181	Tim Cook	True
16915	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	16	14	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 1.108   0.2559 -0.1238 ...  0.473   0.549  -0.2432]	181	181	Tim Cook	True
16926	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	4	7	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.1017  -0.1692   0.128   ... -0.05453 -0.0291   0.0795 ]	181	181	Tim Cook	True
16954	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	1	22	['</s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>']	False	[ 0.0655    -0.0005283 -0.03253   ... -0.05057    0.0714    -0.04257  ]	173	173	Sundar Pichai	True
16977	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	24	13	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.256  -0.279   1.023  ...  0.458   0.7505 -1.968 ]	181	181	Tim Cook	True
16980	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	7	21	['to' 'be' 'announced' '?' '\n' '\n' 'Answer' ':' 'The' 'current']	False	[ 0.0671 -0.4602  0.1066 ... -0.1273 -0.1498  0.154 ]	181	181	Tim Cook	True
16989	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	11	24	[':' '\n' '\n' '1' '.' 'Linked' 'In' '\n' '2' '.']	False	[ 0.1063  -0.537    0.1333  ... -0.1763   0.2703   0.00586]	181	181	Tim Cook	True
17004	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	16	23	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 1.108   0.2559 -0.1238 ...  0.473   0.549  -0.2432]	181	181	Tim Cook	True
17014	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	14	28	['Thomas' 'Cook' '?' '\n' '\n' 'Answer' ':' 'The' 'current' 'CE']	False	[ 0.4702  -0.4592  -0.02222 ... -0.08466  0.3816  -0.514  ]	173	173	Sundar Pichai	True
17059	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	20	17	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.9727 -0.6094  0.1852 ... -1.618  -1.36   -2.24  ]	173	173	Sundar Pichai	True
17062	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	30	3	['Apple' '?' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B' '.']	True	[ 2.67    1.17   -0.6123 ...  1.58   -0.7344 -2.635 ]	181	162	Satya Nadella	False
17064	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	29	13	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[-0.71   -1.151  -0.476  ... -0.9736 -4.598  -1.211 ]	173	173	Sundar Pichai	True
17076	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	21	21	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 0.6494 -0.6333  1.087  ...  0.6904  0.6157 -1.424 ]	181	181	Tim Cook	True
17083	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	26	26	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[-0.06006 -2.469   -1.362   ... -2.807   -2.01    -1.918  ]	173	173	Sundar Pichai	True
17084	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	8	5	['the' 'company' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[ 0.1389   -0.468     0.002441 ... -0.2153   -0.0864    0.0933  ]	173	173	Sundar Pichai	True
17088	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	30	1	['Google' '?' '\n' 'The' 'current' 'CE' 'O' 'of' 'Google' 'is']	False	[-1.119  -1.068  -1.05   ... -0.7964 -3.559  -0.611 ]	173	181	Tim Cook	False
17091	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	4	18	['?' '\n' '\n' 'A' '.' 'Sund' 'ar' 'P' 'ich' 'ai']	False	[ 0.1017  -0.1692   0.128   ... -0.05453 -0.0291   0.0795 ]	181	181	Tim Cook	True
17105	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	0	11	['.' 'com' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[ 0.01555  -0.0243    0.002838 ... -0.0513    0.05414  -0.03177 ]	173	173	Sundar Pichai	True
17136	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	30	13	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 2.67    1.17   -0.6123 ...  1.58   -0.7344 -2.635 ]	181	162	Satya Nadella	False
17167	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	19	1	['Google' '?' '\n' 'The' 'current' 'CE' 'O' 'of' 'Google' 'is']	False	[ 0.4497 -0.2876  0.0279 ... -1.038  -1.915  -0.9277]	173	173	Sundar Pichai	True
17175	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	21	9	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 0.6494 -0.6333  1.087  ...  0.6904  0.6157 -1.424 ]	181	181	Tim Cook	True
17180	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	17	4	['the' 'company' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[ 1.442   0.79   -0.2118 ...  1.524   0.5713 -0.66  ]	181	181	Tim Cook	True
17199	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	16	8	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.9194  -0.2932   0.3596  ... -0.01807 -0.02026 -0.4668 ]	173	173	Sundar Pichai	True
17209	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	20	14	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.128    0.02869  0.8154  ...  1.369    0.9434  -1.53   ]	181	181	Tim Cook	True
17230	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	0	26	[',' 'and' 'what' 'is' 'their' 'background' '?' '\n' '\n' 'The']	False	[ 0.01555  -0.0243    0.002838 ... -0.0513    0.05414  -0.03177 ]	173	173	Sundar Pichai	True
17231	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	3	7	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.2134   -0.1304    0.01602  ... -0.0755    0.00653   0.001801]	181	181	Tim Cook	True
17239	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	20	16	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.9727 -0.6094  0.1852 ... -1.618  -1.36   -2.24  ]	173	173	Sundar Pichai	True
17260	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	14	29	['Private' 'Network' '?' '</s>' '<s>' '<s>' '<s>' '<s>' '<s>' '<s>']	False	[ 0.4702  -0.4592  -0.02222 ... -0.08466  0.3816  -0.514  ]	173	173	Sundar Pichai	True
17267	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	26	1	['Apple' '?' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B' '.']	True	[ 1.308   0.1382  0.648  ...  0.2427  0.9253 -1.569 ]	181	181	Tim Cook	True
17281	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	0	16	['the' 'company' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[ 0.02513  -0.03009   0.004974 ... -0.0638    0.06213  -0.02997 ]	181	181	Tim Cook	True
17329	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	14	19	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 1.005e+00 -6.104e-05 -2.864e-01 ...  6.842e-02 -1.758e-02  4.874e-02]	181	181	Tim Cook	True
17383	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	15	13	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 1.073    0.04776 -0.4897  ...  0.1753   0.3804  -0.1257 ]	181	181	Tim Cook	True
17387	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	26	1	['Google' '?' '\n' 'The' 'current' 'CE' 'O' 'of' 'Google' 'is']	False	[-0.06006 -2.469   -1.362   ... -2.807   -2.01    -1.918  ]	173	173	Sundar Pichai	True
